Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,4921315.37,572191.38,774295.20,3279,0,4153,0,6812,0,457,0,28,0.7388106926586369,4680
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,9221551.05,207035.58,71290.00,2553,0,1239,0,5830,0,847,0,45,0.930940233104141,7164
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,1796790.82,52839.79,6080.00,867,0,2244,0,1877,0,62,0,4,0.6901633863595619,624
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,9018753.63,4460778.46,3792438.00,4490,0,2550,0,9390,0,1103,0,24,0.9388486685413248,11208
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,3340611.51,1617868.11,2748525.00,1889,0,1418,0,3520,0,669,0,37,0.6058963712012201,7944
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,1239281.71,601243.52,1929508.00,823,0,352,0,1891,0,512,0,16,0.9416452172923719,3900
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,2093306.59,1573992.68,391435.54,1268,0,771,0,3004,0,377,0,31,0.9493556293959171,5064
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,1297061.46,1235471.46,476274.23,1035,0,803,0,2735,0,331,0,28,0.929351801869167,4488
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,466961.66,226814.93,318565.40,370,0,136,0,742,0,241,0,16,0.9427862143969012,1416
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,9090817.93,0.00,0,3020,0,988,0,7202,0,1501,52,0.985341811933422,12096
